"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2022","344.55","342.70","345.90","341.95","3.53K","0.63%"
"03/13/2022","342.40","346.50","347.20","341.00","5.82K","-1.08%"
"03/06/2022","346.15","347.30","348.10","342.75","7.03K","-0.47%"
"02/27/2022","347.80","343.75","350.00","343.55","3.53K","1.12%"
"02/20/2022","343.94","344.25","346.75","343.20","3.38K","-0.31%"
"02/13/2022","345.00","342.45","345.50","339.55","4.52K","0.92%"
"02/06/2022","341.85","340.30","344.45","340.15","8.63K","0.41%"
"01/30/2022","340.45","342.50","342.50","334.05","9.20K","-0.54%"
"01/23/2022","342.30","337.00","343.10","337.00","3.32K","1.59%"
"01/16/2022","336.95","336.10","342.00","335.30","4.57K","0.09%"
"01/09/2022","336.65","337.35","342.30","335.55","6.77K","-0.25%"
"01/02/2022","337.50","342.35","344.95","335.55","9.81K","1.64%"
"12/26/2021","332.07","328.45","331.75","328.00","1.46K","1.23%"
"12/19/2021","328.05","328.00","330.50","326.65","3.10K","0.77%"
"12/12/2021","325.55","307.55","328.90","306.40","8.96K","5.85%"
"12/05/2021","307.55","315.00","319.00","301.50","11.10K","-2.38%"
"11/28/2021","315.05","319.60","332.55","312.55","10.92K","-1.27%"
"11/21/2021","319.10","317.90","320.90","316.00","6.47K","0.61%"
"11/14/2021","317.15","305.85","318.00","305.75","7.98K","3.86%"
"11/07/2021","305.35","284.90","311.20","283.55","19.95K","7.33%"
"10/31/2021","284.50","270.60","285.45","269.55","6.73K","10.42%"
"10/24/2021","257.65","265.00","265.50","257.55","8.33K","-2.59%"
"10/17/2021","264.50","270.50","272.35","262.25","6.85K","-2.29%"
"10/10/2021","270.70","278.05","280.90","265.65","6.53K","-2.92%"
"10/03/2021","278.85","283.50","285.95","272.95","15.60K","-1.64%"
"09/26/2021","283.50","298.70","301.85","282.10","5.29K","-5.23%"
"09/19/2021","299.15","302.45","303.60","297.55","0.35K","-0.73%"
"09/12/2021","301.35","295.00","303.00","294.00","1.06K","2.15%"
"09/05/2021","295.00","296.20","305.20","293.05","1.03K","-0.08%"
"08/29/2021","295.25","312.50","313.00","293.05","1.33K","-5.20%"
"08/22/2021","311.45","312.00","313.95","311.00","1.14K","-0.06%"
"08/15/2021","311.65","318.05","319.00","311.25","0.97K","-2.14%"
"08/08/2021","318.45","318.50","319.55","316.35","0.84K","0.13%"
"08/01/2021","318.05","318.60","318.65","316.50","1.40K","-0.04%"
"07/25/2021","318.19","316.50","319.55","316.15","1.25K","0.79%"
"07/18/2021","315.70","318.50","319.90","315.10","2.61K","-0.75%"
"07/11/2021","318.10","316.95","319.90","315.90","2.51K","0.39%"
"07/04/2021","316.85","313.80","319.50","312.80","2.27K","1.15%"
